Dataset,Learning Rate,Early Step Threshold,L2 Reg,Test Loss,ALL_RMSE,ALL_Micro F-1,Last_RMSE,Last_Micro F-1,Time_per_epoch
simulated,0.001,NAN,1e-05,1.7881537675857544,890.60498046875,0.5572587622639046,18.731538772583008,0.54,1.7557154670357704
mimic,0.001,NAN,1e-05,-5.496926307678223,inf,0.5759493670886076,inf,0.9076923076923076,0.16324721224167768
stackoverflow,0.001,NAN,1e-05,2.0261993408203125,inf,0.4663370142214558,inf,0.40346907993966824,2.938892205556234
simulated,0.001,NAN,0.0,1.7881537675857544,890.6030883789062,0.5572587622639046,18.731523513793945,0.54,2.086069989949465
mimic,0.001,NAN,0.0,-5.397937297821045,inf,0.5632911392405063,inf,0.8923076923076924,0.19702269554138183
stackoverflow,0.001,NAN,0.0,2.0286011695861816,inf,0.4658695448926379,inf,0.40120663650075417,2.5986863799717117
simulated,0.0001,NAN,1e-05,1.7884660959243774,907.8156127929688,0.5560017630638131,18.669767379760742,0.535,2.0881852418526834
mimic,0.0001,NAN,1e-05,-5.1448750495910645,inf,0.5632911392405063,inf,0.8769230769230769,0.16336059781302392
stackoverflow,0.0001,NAN,1e-05,2.0641984939575195,inf,0.46035340681258635,inf,0.39215686274509803,2.475094462886001
simulated,0.0001,NAN,0.0,1.7884660959243774,907.8157348632812,0.5560017630638131,18.669763565063477,0.535,1.8095325848151897
mimic,0.0001,NAN,0.0,-5.2272820472717285,inf,0.5632911392405063,inf,0.8769230769230769,0.17231388255761929
stackoverflow,0.0001,NAN,0.0,2.0648207664489746,inf,0.4599690431422249,inf,0.3914027149321267,2.790703502490366
